Content="Afrikaans" Tag="afr" GoogleTag="af"
Content="Amharic" Tag="amh" GoogleTag="am"
Content="Arabic" Tag="ara" GoogleTag="ar"
Content="Assamese" Tag="asm" GoogleTag="as"
Content="Azerbaijani" Tag="aze" GoogleTag="az"
Content="Belarusian" Tag="bel" GoogleTag="be"
Content="Bengali" Tag="ben" GoogleTag="bn"
Content="Bosnian" Tag="bos" GoogleTag="bs"
Content="Bulgarian" Tag="bul" GoogleTag="bg"
Content="Breton" Tag="bre" GoogleTag="br"
Content="Catalan" Tag="cat" GoogleTag="ca"
Content="Cebuano" Tag="ceb" GoogleTag="ceb"
Content="Czech" Tag="ces" GoogleTag="cs"
Content="Chinese (Simplified)" Tag="chi_sim" GoogleTag="zh-CN"
Content="Chinese (Traditional)" Tag="chi_tra" GoogleTag="zh-TW"
Content="Corsican" Tag="cos" GoogleTag="co"
Content="Welsh" Tag="cym" GoogleTag="cy"
Content="Danish" Tag="dan" GoogleTag="da"
Content="German" Tag="deu" GoogleTag="de"
Content="Greek" Tag="ell" GoogleTag="el"
Content="English" Tag="eng" GoogleTag="en"
Content="Esperanto" Tag="epo" GoogleTag="eo"
Content="Estonian" Tag="est" GoogleTag="et"
Content="Basque" Tag="eus" GoogleTag="eu"
Content="Persian" Tag="fas" GoogleTag="fa"
Content="Filipino" Tag="fil" GoogleTag="tl"
Content="Finnish" Tag="fin" GoogleTag="fi"
Content="French" Tag="fra" GoogleTag="fr"
Content="Frisian" Tag="fry" GoogleTag="fy"
Content="Scottish Gaelic" Tag="gla" GoogleTag="gd"
Content="Irish" Tag="gle" GoogleTag="ga"
Content="Galician" Tag="glg" GoogleTag="gl"
Content="Gujarati" Tag="guj" GoogleTag="gu"
Content="Haitian Creole" Tag="hat" GoogleTag="ht"
Content="Hebrew" Tag="heb" GoogleTag="he"
Content="Hindi" Tag="hin" GoogleTag="hi"
Content="Croatian" Tag="hrv" GoogleTag="hr"
Content="Hungarian" Tag="hun" GoogleTag="hu"
Content="Armenian" Tag="hye" GoogleTag="hy"
Content="Indonesian" Tag="ind" GoogleTag="id"
Content="Icelandic" Tag="isl" GoogleTag="is"
Content="Italian" Tag="ita" GoogleTag="it"
Content="Javanese" Tag="jav" GoogleTag="jv"
Content="Japanese" Tag="jpn" GoogleTag="ja"
Content="Kannada" Tag="kan" GoogleTag="kn"
Content="Georgian" Tag="kat" GoogleTag="ka"
Content="Kazakh" Tag="kaz" GoogleTag="kk"
Content="Khmer" Tag="khm" GoogleTag="km"
Content="Kurdish Kurmanji" Tag="kmr" GoogleTag="ku"
Content="Korean" Tag="kor" GoogleTag="ko"
Content="Lao" Tag="lao" GoogleTag="lo"
Content="Latin" Tag="lat" GoogleTag="la"
Content="Latvian" Tag="lav" GoogleTag="lv"
Content="Lithuanian" Tag="lit" GoogleTag="lt"
Content="Luxembourgish" Tag="ltz" GoogleTag="lb"
Content="Malayalam" Tag="mal" GoogleTag="ml"
Content="Marathi" Tag="mar" GoogleTag="mr"
Content="Macedonian" Tag="mkd" GoogleTag="mk"
Content="Maltese" Tag="mlt" GoogleTag="mt"
Content="Mongolian" Tag="mon" GoogleTag="mn"
Content="Maori" Tag="mri" GoogleTag="mi"
Content="Malay" Tag="msa" GoogleTag="ms"
Content="Burmese" Tag="mya" GoogleTag="my"
Content="Nepali" Tag="nep" GoogleTag="ne"
Content="Dutch" Tag="nld" GoogleTag="nl"
Content="Norwegian" Tag="nor" GoogleTag="no"
Content="Occitan" Tag="oci" GoogleTag="oc"
Content="Oriya" Tag="ori" GoogleTag="or"
Content="Punjabi" Tag="pan" GoogleTag="pa"
Content="Polish" Tag="pol" GoogleTag="pl"
Content="Portuguese" Tag="por" GoogleTag="pt"
Content="Pashto" Tag="pus" GoogleTag="ps"
Content="Quechua" Tag="que" GoogleTag="qu"
Content="Romanian" Tag="ron" GoogleTag="ro"
Content="Russian" Tag="rus" GoogleTag="ru"
Content="Sanskrit" Tag="san" GoogleTag="sa"
Content="Sinhala" Tag="sin" GoogleTag="si"
Content="Slovak" Tag="slk" GoogleTag="sk"
Content="Slovenian" Tag="slv" GoogleTag="sl"
Content="Sindhi" Tag="snd" GoogleTag="sd"
Content="Spanish" Tag="spa" GoogleTag="es"
Content="Albanian" Tag="sqi" GoogleTag="sq"
Content="Serbian" Tag="srp" GoogleTag="sr"
Content="Sundanese" Tag="sun" GoogleTag="su"
Content="Swahili" Tag="swa" GoogleTag="sw"
Content="Swedish" Tag="swe" GoogleTag="sv"
Content="Tamil" Tag="tam" GoogleTag="ta"
Content="Tatar" Tag="tat" GoogleTag="tt"
Content="Telugu" Tag="tel" GoogleTag="te"
Content="Tajik" Tag="tgk" GoogleTag="tg"
Content="Tagalog" Tag="tgl" GoogleTag="tl"
Content="Thai" Tag="tha" GoogleTag="th"
Content="Tigrinya" Tag="tir" GoogleTag="ti"
Content="Turkish" Tag="tur" GoogleTag="tr"
Content="Uighur" Tag="uig" GoogleTag="ug"
Content="Ukrainian" Tag="ukr" GoogleTag="uk"
Content="Urdu" Tag="urd" GoogleTag="ur"
Content="Uzbek" Tag="uzb" GoogleTag="uz"
Content="Vietnamese" Tag="vie" GoogleTag="vi"
Content="Yiddish" Tag="yid" GoogleTag="yi"
Content="Yoruba" Tag="yor" GoogleTag="yo"
